,xG,PrgPasses,Gls/90,xG/90,Shots,Sh/90,SoT/90,Dist,PrgDist,FinalThirdPass,PenaltyAreaCross,SCA90,Tkl Def 3rd,Tkl Mid 3rd,Clearances,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,short_Pass_Ratio,medium_Pass_Ratio,long_Pass_Ratio,clusters,Player_Name,Pos
537,9.6,5,1.01,1.08,34,3.81,1.9,9,130,0,0,1.79,4,6,13,16,34,90,94,47,0.6732673267326733,0.27722772277227725,0.04950495,4,Cristhian Stuani,FW
536,14.5,25,0.41,0.46,82,2.58,1.1,11.2,766,21,3,1.92,1,15,17,19,69,472,471,165,0.7047619047619048,0.25142857142857145,0.043809524,4,Jørgen Strand Larsen,FW
17,1.2,7,0.27,0.33,8,2.14,0.54,17.4,309,5,1,2.41,3,2,3,3,19,66,60,11,0.6341463414634146,0.2682926829268293,0.097560976,4,Tadeo Allende,MF
576,1.2,15,0.13,0.15,7,0.88,0.25,14.1,917,9,4,1.26,13,8,24,32,121,142,137,14,0.5377777777777778,0.3422222222222222,0.12,4,Jesus Vazquez,DF
55,3.5,39,0.25,0.22,37,2.33,0.76,17.7,1226,15,4,2.58,7,16,5,8,82,307,415,68,0.5714285714285714,0.3326530612244898,0.095918367,4,Ander Barrenetxea,FW
59,1.4,6,0.85,0.61,15,6.37,1.7,30.2,323,5,3,3.4,1,1,0,2,8,55,88,7,0.43,0.3,0.27,4,Bebé,MF
554,3.4,23,0.07,0.24,38,2.69,0.78,18.5,443,14,0,1.56,4,3,8,12,33,226,183,58,0.559322034,0.3177966101694915,0.1228813559322034,4,Raúl de Tomás,FW
585,1,15,0,0.23,8,1.73,0.65,12.3,850,5,2,1.95,4,5,9,15,60,120,82,14,0.5706521739130435,0.32608695652173914,0.10326086956521739,4,Nacho Vidal,DF
23,1,34,0.12,0.12,12,1.42,0.47,13.9,1437,19,3,3.66,8,3,9,16,96,188,263,32,0.6202830188679245,0.3160377358490566,0.063679245,4,Hugo Álvarez,MF
587,2.3,65,0.29,0.33,12,1.75,0.58,24,1489,35,1,4.37,1,2,1,0,40,331,203,22,0.6271186440677966,0.3347457627118644,0.038135593220338986,4,Jonathan Viera,MF
588,1.3,68,0,0.13,12,1.18,0.49,18.7,1491,37,1,4.63,6,9,1,4,79,357,198,19,0.6200787401574803,0.3110236220472441,0.068897638,4,Jonathan Viera,MF
526,1.6,42,0,0.12,28,2,0.5,17.6,1722,23,9,4.92,11,9,16,12,110,218,316,48,0.3938618925831202,0.39641943734015345,0.20971867007672634,4,Alex Sola,FW
590,1.7,10,0.35,0.3,12,2.11,1.05,11.5,184,7,0,2.81,0,0,6,6,18,64,98,31,0.7314814814814815,0.23148148148148148,0.037037037037037035,4,Asier Villalibre,FW
60,1.4,13,0.23,0.17,21,2.45,1.05,17.1,363,1,3,2.22,0,2,0,0,13,85,207,42,0.5613207547169812,0.32547169811320753,0.11320754716981132,4,Sheraldo Becker,FW
62,11.1,196,0.74,0.43,62,2.41,1.32,14.8,4025,137,3,3.85,14,18,17,21,202,978,746,135,0.6422651933701657,0.2955801104972376,0.062154696132596686,4,Jude Bellingham,MF
26,1.6,13,0,0.35,12,2.74,0.46,14.1,296,8,2,3.87,7,2,6,6,32,79,90,21,0.5445544554455446,0.37623762376237624,0.079207921,4,Amath,FW
38,8.6,81,0.4,0.38,60,2.64,0.97,16.8,2305,51,4,4.04,16,17,8,13,118,498,411,78,0.6014598540145986,0.28613138686131384,0.11240875912408758,4,Sergio Arribas,MF
15,1.2,23,0.09,0.11,16,1.41,0.44,18.8,1146,31,2,3.18,7,14,13,14,74,251,223,22,0.46174863387978143,0.3770491803278688,0.16120218579234974,4,Carles Aleñá,MF
520,2.4,24,0.14,0.34,14,2,0.29,19.7,563,9,1,3.14,2,3,3,5,43,80,137,27,0.6413793103448275,0.3103448275862069,0.048275862,4,Giuliano Simeone,FW
583,2.3,23,0.16,0.19,15,1.21,0.65,15.2,1278,11,14,3.87,7,7,9,7,63,172,268,41,0.445859873,0.34394904458598724,0.21019108280254778,4,Carlos Vicente,FW
